loc,send,const
9,18,11
67,31,17
274,69,26
356,88,27
371,91,27
375,91,29
505,114,32
592,127,33
646,142,36
789,161,40
906,168,40
1039,169,42
1067,172,43
1145,180,44
1182,182,45
1231,184,45
1234,184,45
1252,186,46
1327,187,50
1338,187,51
1422,191,53
1437,191,55
1480,191,56
1521,193,57
1568,195,58
1589,197,59
1623,197,61
1639,198,62
1649,199,65
1659,199,66
1671,199,67
1689,199,69
1718,200,70
1797,203,80
1828,204,81
1850,204,82
1853,204,83
1856,204,84
1867,204,85
1893,207,86
1909,207,87
1911,207,88
1946,211,89
1972,217,93
2044,226,93
2160,243,94
2235,256,94
2504,277,94
2532,281,96
2649,292,96
2758,302,97
2796,302,97
2808,302,97
3002,318,98
3133,330,106
3192,339,110
3279,342,110
3309,344,110
3500,353,110
3523,353,112
3539,353,114
3571,356,116
3652,361,117
3652,361,117
3660,361,118
3763,368,118
3767,368,118
3788,369,120
3969,381,121
4032,389,129
4076,398,135
4114,402,135
4117,402,135
4133,405,137
4151,409,140
4281,409,140
4296,411,143
4353,411,143
4395,421,145
4421,424,146
4432,425,148
4460,427,151
4573,447,159
4581,447,159
4590,449,159
4760,452,160
4775,455,160
4782,458,160
4789,458,160
4871,467,160
4886,467,160
4899,469,160
4954,477,160
4957,477,160
4969,477,161
5062,495,170
5077,495,170
5110,502,172
5127,503,172
5138,503,172
5190,510,175
5193,511,175
5214,512,175
5217,512,175
5220,512,175
5227,512,175
5238,512,175
5246,512,175
5254,512,175
5269,512,175
5272,512,175
5391,525,179
5431,535,180
5513,541,182
5631,558,191
5694,562,193
5739,562,194
5834,565,195
6088,594,212
6117,597,213
6249,597,217
6402,623,225
6436,631,226
6514,637,229
6539,641,231
6666,651,234
6701,658,236
6729,660,239
6795,668,240
6832,670,243
6849,672,245
6936,672,246
6976,679,247
7022,687,251
7036,688,253
7053,690,254
7076,692,255
7151,710,256
7153,710,256
7232,723,257
7237,723,258
7249,723,259
7298,725,261
7340,731,264
7376,733,265
7446,740,265
7612,747,267
7621,751,267
7654,752,268
7675,755,269
7765,768,272
7810,777,272
7945,793,272
7954,793,273
8156,806,277
8179,810,278
8217,810,279
8240,812,280
8348,816,280
8490,816,281
8541,821,282
8552,821,284
8625,831,286
8658,834,287
8690,839,289
8730,841,291
8764,843,292
8774,843,294
8823,849,296
8847,849,297
8862,849,297
8967,853,300
9063,858,304
9160,863,304
9381,889,307
9469,893,314
9498,894,315
9526,896,316
9558,897,316
9688,909,321
9781,916,322
9817,917,324
9835,918,324
9899,923,324
9977,925,327
10059,933,327
10078,934,328
10177,946,329
10251,948,330
10301,952,332
10328,952,332
10491,962,332
10533,964,334
10554,966,335
10635,969,335
10931,1017,336
10951,1017,337
10975,1018,338
11006,1020,339
11024,1020,339
11076,1022,340
11210,1026,340
11316,1033,340
11332,1035,342
11377,1036,344
11434,1036,344
11471,1038,344
11474,1038,344
11502,1038,356
11514,1038,357
11521,1038,359
11555,1039,360
11581,1039,361
11628,1045,364
11677,1049,368
11727,1050,371
11740,1051,372
11764,1055,373
11776,1056,374
11869,1056,374
11884,1056,375
11895,1056,376
11906,1056,377
11927,1056,377
11944,1056,377
11973,1058,378
12043,1069,379
12060,1069,379
12210,1078,380
12283,1081,381
12349,1087,382
12472,1097,383
12506,1100,383
12533,1100,383
12598,1106,383
12626,1109,383
12681,1120,383
12737,1121,384
12928,1138,388
12947,1138,389
12967,1140,389
12999,1145,389
13035,1146,390
13185,1152,391
13261,1158,392
13499,1165,394
13638,1193,395
13700,1199,395
13751,1204,395
13908,1224,395
13934,1224,395
13964,1225,395
14023,1231,396
14085,1235,396
14138,1243,396
14146,1243,396
14272,1247,396
14273,1247,396
14312,1255,397
14391,1264,401
14437,1268,402
14470,1268,402
14489,1272,403
14505,1272,404
14508,1272,404
14569,1276,404
14588,1276,406
14617,1282,408
14658,1285,408
14681,1287,411
14713,1291,413
14888,1303,425
14899,1304,425
14918,1304,426
14960,1309,430
14991,1309,433
15099,1312,433
15158,1312,433
15163,1312,433
15187,1312,434
15192,1313,434
15244,1319,437
15323,1327,437
15449,1338,438
15460,1338,438
15601,1344,438
15657,1347,439
15718,1351,439
15757,1353,439
15796,1354,440
15887,1355,440
15948,1358,440
15990,1360,440
16033,1364,442
16139,1368,442
16157,1370,444
16216,1370,444
16248,1374,444
16351,1377,444
16467,1381,445
16528,1382,446
16575,1385,446
16931,1396,447
17018,1398,447
17496,1403,447
17512,1403,447
17577,1405,447
17612,1405,447
17642,1407,447
17704,1408,447
17847,1409,447
17918,1409,447
17945,1410,447
18019,1410,448
18182,1410,455
18285,1410,455
18290,1410,455
18362,1411,455
18397,1411,455
18440,1412,455
18564,1417,455
18626,1419,455
18644,1419,455
18752,1420,456
18796,1420,456
18834,1422,456
18907,1424,457
18950,1424,457
18993,1429,457
19079,1431,457
19153,1431,457
19199,1432,457
19465,1442,457
19521,1442,457
19764,1446,457
19936,1459,457
19983,1460,457
20091,1461,457
20179,1469,457
20201,1470,457
20353,1473,457
20394,1473,457
20433,1474,457
20483,1474,457
20538,1476,457
20635,1478,457
20665,1481,457
20796,1486,457
20829,1487,457
20846,1487,457
20988,1490,457
21020,1491,457
21267,1495,457
21318,1496,457
21351,1497,457
21388,1498,457
21466,1498,457
21561,1498,457
21743,1501,457
21778,1502,457
21841,1502,457
21862,1502,457
22011,1504,457
22040,1507,457
