loc,misses,hits,total,ratio
92,59,29,88,0.4915254237288136
120,84,42,126,0.5
142,106,99,205,0.9339622641509434
149,114,106,220,0.9298245614035088
196,145,138,283,0.9517241379310345
203,149,151,300,1.0134228187919463
212,149,151,300,1.0134228187919463
372,333,428,761,1.2852852852852852
396,351,439,790,1.2507122507122508
410,372,455,827,1.2231182795698925
696,543,673,1216,1.2394106813996317
806,608,776,1384,1.2763157894736843
848,639,822,1461,1.2863849765258215
861,652,849,1501,1.3021472392638036
911,698,902,1600,1.2922636103151863
912,698,904,1602,1.2951289398280803
963,746,1016,1762,1.3619302949061662
1876,1452,2577,4029,1.774793388429752
2052,1471,3584,5055,2.4364377974167235
2057,1473,3590,5063,2.4372029871011542
2125,1473,3590,5063,2.4372029871011542
2152,1494,3619,5113,2.4223560910307897
2165,1505,3654,5159,2.427906976744186
2173,1511,3665,5176,2.4255459960291197
2237,1546,3788,5334,2.45019404915912
2719,1739,4178,5917,2.4025301897642324
2737,1758,4208,5966,2.3936291240045504
2749,1772,4223,5995,2.3831828442437923
2765,1779,4229,6008,2.3771781899943787
2846,1817,4261,6078,2.3450742982938912
2855,1835,4286,6121,2.3356948228882835
3387,2102,4684,6786,2.2283539486203616
3786,2371,5248,7619,2.2134120624209195
4158,2695,5860,8555,2.174397031539889
4287,2827,6019,8846,2.1291121330031837
4409,2917,6111,9028,2.094960575934179
4417,2923,6120,9043,2.0937393089291825
4450,2943,6163,9106,2.09412164458036
4618,3047,6322,9369,2.074827699376436
4680,3073,6360,9433,2.0696387894565573
4718,3112,6430,9542,2.066195372750643
4741,3123,6447,9570,2.064361191162344
5190,3400,7130,10530,2.097058823529412
5197,3412,7136,10548,2.0914419695193436
5232,3455,7242,10697,2.096092619392185
5250,3485,7267,10752,2.0852223816355813
5334,3593,7442,11035,2.071249652101308
5664,3845,7912,11757,2.0577373211963588
5708,3880,7962,11842,2.052061855670103
5733,3898,7979,11877,2.046947152385839
7065,4541,11133,15674,2.451662629376789
7080,4558,11159,15717,2.4482229047827997
7086,4563,11165,15728,2.4468551391628313
7156,4608,11241,15849,2.439453125
7163,4611,11241,15852,2.4378659726740404
7171,4611,11241,15852,2.4378659726740404
7191,4620,11253,15873,2.4357142857142855
7209,4643,11268,15911,2.426879172948525
7466,4771,11527,16298,2.4160553343114652
7534,4810,11603,16413,2.412266112266112
7743,4900,11773,16673,2.40265306122449
7779,4918,11797,16715,2.3987393249288327
7888,5048,12018,17066,2.3807448494453247
7909,5071,12042,17113,2.3746795503845397
8062,5129,12146,17275,2.3681029440436734
8835,5655,13270,18925,2.3465959328028294
8965,5658,13653,19311,2.4130434782608696
8972,5665,13663,19328,2.4118270079435127
9001,5673,13681,19354,2.411598801339679
9274,5727,13812,19539,2.4117338920900995
9276,5731,13818,19549,2.411097539696388
9377,5778,13862,19640,2.399100034614053
9436,5819,13949,19768,2.3971472761642896
9573,5853,14239,20092,2.4327695199043227
9656,5917,14364,20281,2.427581544701707
9680,5935,14401,20336,2.426453243470935
9683,5935,14403,20338,2.4267902274641955
9805,5949,14513,20462,2.439569675575727
9858,5988,14608,20596,2.4395457581830327
9873,5996,14624,20620,2.438959306204136
9909,6010,14651,20661,2.4377703826955073
9944,6027,14699,20726,2.438858470217355
10008,6079,14821,20900,2.438065471294621
10076,6089,14889,20978,2.445229101658729
10189,6091,15222,21313,2.499097028402561
10197,6109,15234,21343,2.493697822884269
10223,6118,15248,21366,2.4923177508989864
10431,6280,15573,21853,2.4797770700636943
10547,6365,15776,22141,2.4785545954438333
10600,6387,15832,22219,2.4787850320964457
10602,6389,15845,22234,2.4800438253247767
10841,6623,16283,22906,2.458553525592632
10860,6624,16307,22931,2.4618055555555554
10886,6634,16325,22959,2.4608079589990957
10908,6659,16353,23012,2.4557741402613007
26854,7851,46519,54370,5.9252324544644
26863,7855,46526,54381,5.923106301718651
27003,7917,46660,54577,5.893646583301756
27044,7938,46688,54626,5.881582262534644
27065,7968,46743,54711,5.866340361445783
27129,7984,46795,54779,5.861097194388778
27132,7984,46795,54779,5.861097194388778
27149,8019,46839,54858,5.841002618780396
27171,8029,46894,54923,5.840577905094034
27214,8058,46945,55003,5.825887316952097
27624,8259,47426,55685,5.742341687855673
27662,8284,47462,55746,5.729357798165138
27699,8320,47531,55851,5.712860576923077
27731,8354,47600,55954,5.697869284175245
27816,8412,47739,56151,5.675106990014266
28157,8772,48540,57312,5.533515731874145
28329,8842,48687,57529,5.506333408731057
28435,8908,48804,57712,5.47867085765604
28471,8928,48849,57777,5.471438172043011
28599,8930,49227,58157,5.512541993281075
30118,9884,52346,62230,5.296033994334278
30279,9973,52525,62498,5.266720144389852
30358,10044,52636,62680,5.240541616885703
30556,10167,52908,63075,5.203894954263794
30575,10184,52942,63126,5.198546739984289
30681,10253,53092,63345,5.178191748756461
30692,10267,53096,63363,5.17152040518165
30761,10312,53165,63477,5.155643910007758
31538,10653,53962,64615,5.0654275790857035
31730,10770,54311,65081,5.042804085422469
31984,11035,54836,65871,4.96927956502039
32092,11084,54930,66014,4.955792132804042
32287,11151,55089,66240,4.940274414850686
