loc,misses,hits,total,ratio
322,204,348,552,1.7058823529411764
342,226,371,597,1.6415929203539823
390,257,403,660,1.5680933852140078
406,275,409,684,1.4872727272727273
471,376,531,907,1.4122340425531914
658,521,914,1435,1.7543186180422266
765,656,1095,1751,1.6692073170731707
944,675,2124,2799,3.1466666666666665
1413,965,3165,4130,3.2797927461139897
1482,985,3186,4171,3.234517766497462
1502,1011,3201,4212,3.166172106824926
1506,1020,3203,4223,3.1401960784313725
1525,1034,3209,4243,3.1034816247582206
1562,1061,3264,4325,3.0763430725730445
1948,1499,4118,5617,2.7471647765176783
2011,1543,4155,5698,2.6928062216461437
2037,1559,4167,5726,2.672867222578576
2346,1559,4167,5726,2.672867222578576
2349,1562,4173,5735,2.67157490396927
2543,1665,4699,6364,2.8222222222222224
2546,1671,4706,6377,2.8162776780371037
2563,1702,4762,6464,2.797884841363102
2596,1730,4793,6523,2.770520231213873
2606,1737,4819,6556,2.774323546344272
2661,1799,4912,6711,2.7304057809894386
2666,1803,4919,6722,2.728230726566833
2809,1922,5081,7003,2.6436004162330904
2868,1972,5140,7112,2.606490872210953
3362,2410,5941,8351,2.4651452282157678
3376,2432,5962,8394,2.4514802631578947
3393,2450,5977,8427,2.439591836734694
3421,2474,6027,8501,2.4361358124494745
4496,2983,7447,10430,2.4964800536372778
4501,2986,7450,10436,2.4949765572672473
4627,3084,7764,10848,2.517509727626459
4696,3093,7825,10918,2.5299062398965404
4788,3195,8169,11364,2.556807511737089
4798,3197,8187,11384,2.5608382858930248
4824,3220,8209,11429,2.5493788819875776
4841,3222,8227,11449,2.553382991930478
4958,3302,8464,11766,2.5632949727437917
4985,3312,8547,11859,2.5806159420289854
4996,3326,8565,11891,2.5751653638003607
5042,3391,8832,12223,2.604541433205544
5126,3444,8942,12386,2.5963995354239255
5140,3462,8957,12419,2.5872328134026574
5259,3545,9274,12819,2.6160789844851906
5273,3559,9301,12860,2.6133745434110707
5293,3581,9314,12895,2.600949455459369
5299,3582,9327,12909,2.603852596314908
5337,3614,9371,12985,2.592971776425014
5371,3641,9457,13098,2.597363361713815
5531,3718,9799,13517,2.635556750941366
5602,3785,9989,13774,2.639101717305152
5611,3799,10003,13802,2.633061331929455
5768,3909,10294,14203,2.63341007930417
5878,4003,10512,14515,2.626030477142143
5884,4003,10526,14529,2.629527854109418
6047,4131,10751,14882,2.6025175502299684
6061,4137,10752,14889,2.598984771573604
6155,4171,10795,14966,2.58810836729801
6191,4197,10861,15058,2.587800810102454
6222,4229,10896,15125,2.5764956254433673
6330,4304,11378,15682,2.6435873605947955
6340,4310,11385,15695,2.6415313225058004
6352,4313,11411,15724,2.6457222351031766
6358,4314,11423,15737,2.647890588780714
6575,4476,11980,16456,2.676496872207328
6593,4495,12009,16504,2.671635150166852
6626,4526,12054,16580,2.6632788334069817
6722,4602,12189,16791,2.648631029986962
6831,4659,12271,16930,2.6338270015024685
6874,4721,12350,17071,2.6159711925439524
7109,4874,13024,17898,2.6721378744357818
7837,5488,14032,19520,2.556851311953353
7857,5498,14048,19546,2.5551109494361586
8687,5902,15240,21142,2.582175533717384
8690,5905,15241,21146,2.5810330228619813
8797,5955,15361,21316,2.5795130142737195
8877,5975,15476,21451,2.5901255230125524
9063,6119,15787,21906,2.579996731492074
9163,6203,15974,22177,2.575205545703692
9177,6217,16000,22217,2.5735885475309637
9186,6223,16006,22229,2.572071348224329
9264,6272,16201,22473,2.5830676020408165
9273,6283,16215,22498,2.580773515836384
9276,6286,16222,22508,2.58065542475342
9307,6324,16266,22590,2.5721062618595827
9319,6331,16278,22609,2.571157794977097
9343,6352,16299,22651,2.5659634760705288
9363,6365,16312,22677,2.562765121759623
9400,6386,16336,22722,2.558095834638271
9430,6416,16396,22812,2.5554862842892767
9526,6470,16491,22961,2.548840803709428
9601,6531,16597,23128,2.5412647374062165
9802,6640,16887,23527,2.543222891566265
10132,6904,17296,24200,2.5052143684820396
10180,6945,17367,24312,2.500647948164147
10200,6963,17395,24358,2.498204796782996
10247,7074,17517,24591,2.476251060220526
10257,7081,17530,24611,2.475639034034741
10336,7128,17727,24855,2.486952861952862
10491,7199,18027,25226,2.504097791359911
10595,7308,18231,25539,2.494663382594417
10664,7364,18400,25764,2.498642042368278
10703,7402,18480,25882,2.4966225344501485
10714,7413,18500,25913,2.495615810063402
10728,7424,18511,25935,2.4933997844827585
10741,7430,18550,25980,2.496635262449529
10908,7518,18755,26273,2.4946794360202182
10926,7538,18819,26357,2.4965508092332183
10933,7539,18838,26377,2.4987398859265153
11465,7844,19851,27695,2.5307241203467616
11506,7873,19875,27748,2.5244506541343834
11999,7873,19875,27748,2.5244506541343834
12390,8227,20350,28577,2.4735626595356752
12404,8227,20357,28584,2.4744135164701593
12594,8412,20742,29154,2.465763195435093
12601,8423,20759,29182,2.464561320194705
12672,8459,20845,29304,2.4642392717815347
12680,8463,20850,29313,2.463665366891173
12689,8478,20865,29343,2.4610757254069355
12712,8495,20906,29401,2.460977045320777
12729,8501,20923,29424,2.4612398541348077
12776,8517,20962,29479,2.4611952565457322
12796,8525,20975,29500,2.4604105571847508
13337,8688,21681,30369,2.4955110497237567
13450,8787,21873,30660,2.489245476271765
13454,8791,21874,30665,2.4882265953816405
14235,9135,22673,31808,2.4819923371647508
14290,9171,22748,31919,2.4804274343037838
14306,9182,22763,31945,2.479089522979743
14320,9197,22771,31968,2.475916059584647
14321,9197,22776,31973,2.476459715124497
14371,9239,22834,32073,2.4714795973590213
14636,9477,23421,32898,2.471351693573916
14652,9487,23430,32917,2.4696953726151576
14700,9505,23449,32954,2.467017359284587
14727,9518,23473,32991,2.46616936331162
14763,9547,23511,33058,2.4626584267309104
14773,9558,23524,33082,2.461184348189998
15063,9685,23969,33654,2.4748580278781622
15170,9741,24300,34041,2.4946104096088697
15238,9747,24414,34161,2.504770698676516
15250,9758,24439,34197,2.504509120721459
15259,9765,24454,34219,2.5042498719918074
16191,10045,25444,35489,2.533001493280239
16221,10067,25484,35551,2.531439356312705
16479,10225,25764,35989,2.519706601466993
16538,10283,25893,36176,2.5180394826412527
16555,10286,25929,36215,2.52080497763951
16620,10353,26052,36405,2.5163720660678064
16640,10369,26104,36473,2.517504098755907
16697,10414,26316,36730,2.526982907624352
16721,10445,26391,36836,2.526663475347056
16844,10517,26638,37155,2.5328515736426738
16855,10536,26645,37181,2.5289483675018984
16876,10552,26692,37244,2.5295678544351783
16902,10581,26747,37328,2.527832908042718
17140,10674,27066,37740,2.5356942102304667
17172,10690,27089,37779,2.5340505144995324
17259,10794,27292,38086,2.5284417268853066
17644,11214,28122,39336,2.5077581594435525
17645,11217,28123,39340,2.507176606935901
17758,11265,28310,39575,2.513093652907235
17768,11265,28330,39595,2.5148690634709276
17778,11265,28330,39595,2.5148690634709276
17836,11294,28456,39750,2.5195679121657517
17995,11412,28794,40206,2.5231335436382754
17996,11412,28799,40211,2.523571678934455
18015,11432,28828,40260,2.5216934919524143
18028,11445,28860,40305,2.521625163826999
18052,11449,28862,40311,2.5209188575421435
18104,11493,28947,40440,2.5186635343252415
18194,11561,29145,40706,2.5209756941441053
18362,11650,29485,41135,2.530901287553648
18410,11684,29575,41259,2.531239301609038
18432,11704,29632,41336,2.531784005468216
18437,11705,29642,41347,2.532422041862452
18759,11905,29964,41869,2.5169256614867703
18799,11947,30020,41967,2.51276471080606
18995,12024,30271,42295,2.5175482368596143
19084,12077,30415,42492,2.5184234495321687
19123,12125,30528,42653,2.5177731958762886
19142,12142,30548,42690,2.515895239663976
19287,12262,30991,43253,2.52740172891861
19294,12269,31015,43284,2.5279158855652457
19379,12342,31172,43514,2.5256846540269002
19406,12371,31197,43568,2.5217848193355428
19464,12407,31291,43698,2.5220440074151687
19483,12430,31326,43756,2.520193081255028
19486,12433,31330,43763,2.519906699911526
19493,12435,31344,43779,2.520627261761158
19525,12459,31390,43849,2.519463841399791
19549,12483,31417,43900,2.5167828246415125
19573,12492,31425,43917,2.5156099903938522
19649,12523,31583,44106,2.521999520881578
19658,12529,31595,44124,2.5217495410647297
19718,12576,31719,44295,2.522185114503817
19818,12664,31870,44534,2.516582438408086
19869,12701,31953,44654,2.5157861585701915
20047,12852,32371,45223,2.5187519452225335
20059,12862,32388,45250,2.518115378634738
20064,12867,32391,45258,2.517370016320821
20154,12949,32626,45575,2.5195768012973976
20205,13013,32800,45813,2.520556366710213
20226,13032,32839,45871,2.5198741559238798
20332,13092,33039,46131,2.5236021998166818
20375,13142,33171,46313,2.5240450464160706
20401,13162,33211,46373,2.523248746391126
20660,13361,33515,46876,2.5084200284409848
20726,13407,33644,47051,2.509435369583054
20749,13428,33675,47103,2.5078194816800714
20754,13432,33679,47111,2.5073704586063132
20763,13434,33706,47140,2.5090069971713564
20821,13493,33819,47312,2.5064107314904023
20891,13536,33899,47435,2.5043587470449173
20970,13564,34262,47826,2.5259510468888235
21015,13607,34322,47929,2.5223781876975084
21182,13684,34499,48183,2.521119555685472
21218,13702,34541,48243,2.5208728652751424
21275,13751,34587,48338,2.5152352556177733
21315,13788,34692,48480,2.516100957354221
21317,13791,34692,48483,2.515553621927344
21614,13970,35524,49494,2.542877594846099
21627,13980,35554,49534,2.5432045779685266
21655,13999,35602,49601,2.5431816558325595
21739,14038,35813,49851,2.551146887020943
21991,14203,36302,50505,2.555938886150813
22002,14209,36323,50532,2.5563375325497923
22137,14289,36448,50737,2.5507733221359086
22595,14642,37955,52597,2.592200519054774
22674,14723,38183,52906,2.5934252530055018
22725,14772,38270,53042,2.590712158137016
22750,14781,38304,53085,2.5914349502740004
22980,14935,39076,54011,2.6164044191496485
23005,14971,39131,54102,2.6137866541981163
23006,14971,39136,54107,2.6141206332242337
23022,14979,39143,54122,2.6131918018559315
23043,14993,39159,54152,2.611818848796105
23053,14993,39179,54172,2.613152804642166
23123,15043,39342,54385,2.6153027986438877
23206,15083,39439,54522,2.6147981170854604
23213,15083,39455,54538,2.6158589140091495
23220,15086,39474,54560,2.6165981704891954
23250,15112,39509,54621,2.614412387506617
23670,15319,40300,55619,2.630720020889092
23696,15338,40346,55684,2.6304602946929196
24306,15714,41071,56785,2.613656611938399
24401,15719,41419,57138,2.634964056237674
24457,15784,41572,57356,2.6338063862138874
24516,15826,41675,57501,2.6333249083786177
24534,15855,41706,57561,2.6304635761589403
24553,15864,41736,57600,2.6308623298033282
24581,15879,41800,57679,2.6324075823414574
24678,15952,41933,57885,2.628698595787362
24706,15985,41985,57970,2.6265248670628716
24743,15992,41997,57989,2.626125562781391
24753,15996,42002,57998,2.62578144536134
25145,16321,42783,59104,2.621346731205196
25224,16392,42977,59369,2.621827720839434
25246,16399,43002,59401,2.6222330629916457
25295,16439,43076,59515,2.620354036133585
26272,16866,44955,61821,2.665421558164354
