loc,uniq_libs,total_libs
9,1,1
67,1,1
274,1,1
356,1,1
371,1,1
375,1,1
505,1,1
592,1,1
646,1,1
789,1,1
906,1,1
1039,1,1
1067,1,1
1145,1,1
1182,1,1
1231,1,1
1234,1,1
1252,2,2
1327,2,2
1338,2,2
1422,2,2
1437,2,2
1480,2,2
1521,2,2
1568,2,2
1589,3,3
1623,3,3
1639,3,4
1649,3,4
1659,3,4
1671,3,4
1689,3,4
1718,3,4
1797,3,4
1828,3,4
1850,3,4
1853,3,4
1856,3,4
1867,3,4
1893,3,5
1909,3,6
1911,3,6
1946,3,6
1972,6,10
2044,8,12
2160,8,13
2235,8,14
2504,8,15
2532,8,16
2649,8,17
2758,10,21
2796,10,21
2808,10,22
3002,10,25
3133,11,28
3192,11,29
3279,11,30
3309,11,31
3500,11,32
3523,11,32
3539,11,32
3571,11,32
3652,11,32
3652,11,32
3660,11,32
3763,11,32
3767,11,32
3788,13,41
3969,13,41
4032,16,46
4076,16,46
4114,16,46
4117,16,46
4133,18,49
4151,19,50
4281,19,50
4296,20,52
4353,20,52
4395,20,53
4421,20,54
4432,20,55
4460,20,56
4573,21,57
4581,21,57
4590,21,58
4760,21,59
4775,23,65
4782,23,65
4789,23,65
4871,23,65
4886,23,65
4899,23,65
4954,23,65
4957,23,65
4969,23,65
5062,23,65
5077,23,65
5110,23,65
5127,23,65
5138,23,65
5190,25,67
5193,25,67
5214,25,67
5217,25,67
5220,25,67
5227,25,67
5238,25,67
5246,25,67
5254,25,67
5269,25,67
5272,25,67
5391,25,67
5431,25,67
5513,26,68
5631,31,78
5694,31,78
5739,31,78
5834,31,78
6088,31,81
6117,31,81
6249,31,81
6402,31,81
6436,31,81
6514,32,84
6539,32,84
6666,32,84
6701,32,85
6729,32,86
6795,32,87
6832,32,88
6849,32,94
6936,32,94
6976,33,95
7022,34,96
7036,34,96
7053,34,96
7076,34,96
7151,34,98
7153,34,100
7232,34,105
7237,34,105
7249,34,105
7298,34,105
7340,35,107
7376,35,107
7446,36,108
7612,36,108
7621,36,108
7654,36,108
7675,36,108
7765,36,108
7810,36,108
7945,36,108
7954,36,112
8156,36,112
8179,36,112
8217,36,112
8240,36,112
8348,36,112
8490,36,112
8541,36,113
8552,36,113
8625,36,113
8658,36,113
8690,36,113
8730,36,113
8764,36,113
8774,36,113
8823,36,113
8847,36,113
8862,36,113
8967,36,113
9063,36,113
9160,36,114
9381,36,115
9469,36,115
9498,36,115
9526,36,115
9558,36,115
9688,36,115
9781,36,116
9817,36,117
9835,36,117
9899,36,117
9977,36,117
10059,36,117
10078,36,117
10177,36,117
10251,36,117
10301,36,117
10328,36,118
10491,36,129
10533,36,129
10554,36,129
10635,36,129
10931,36,129
10951,36,129
10975,36,129
11006,36,129
11024,36,129
11076,36,137
11210,36,137
11316,36,137
11332,36,138
11377,37,141
11434,37,141
11471,37,141
11474,37,141
11502,37,142
11514,37,142
11521,37,142
11555,37,142
11581,37,142
11628,37,142
11677,37,142
11727,37,142
11740,37,142
11764,37,142
11776,37,142
11869,37,142
11884,37,142
11895,37,142
11906,37,142
11927,37,142
11944,37,142
11973,37,143
12043,37,143
12060,37,143
12210,37,143
12283,37,144
12349,37,145
12472,37,146
12506,37,146
12533,37,146
12598,37,148
12626,37,148
12681,37,148
12737,37,148
12928,37,148
12947,37,148
12967,37,148
12999,37,148
13035,37,148
13185,37,148
13261,37,148
13499,37,148
13638,37,148
13700,37,148
13751,37,148
13908,37,149
13934,37,149
13964,37,149
14023,37,149
14085,37,149
14138,37,149
14146,37,149
14272,42,164
14273,42,165
14312,42,167
14391,42,169
14437,42,170
14470,42,170
14489,42,170
14505,42,170
14508,42,170
14569,42,171
14588,43,173
14617,43,174
14658,44,176
14681,44,176
14713,46,180
14888,49,186
14899,50,189
14918,50,189
14960,51,190
14991,52,193
15099,52,193
15158,52,193
15163,52,193
15187,52,193
15192,52,193
15244,52,193
15323,52,195
15449,52,196
15460,52,197
15601,53,199
15657,53,200
15718,53,201
15757,53,202
15796,53,203
15887,53,204
15948,53,205
15990,53,206
16033,53,207
16139,53,208
16157,53,209
16216,53,209
16248,53,210
16351,53,211
16467,53,212
16528,53,213
16575,53,215
16931,53,216
17018,53,217
17496,53,218
17512,53,219
17577,53,220
17612,53,221
17642,53,223
17704,53,224
17847,53,227
17918,53,230
17945,53,231
18019,53,232
18182,53,233
18285,53,234
18290,53,235
18362,53,236
18397,53,237
18440,53,238
18564,53,239
18626,53,240
18644,53,241
18752,53,242
18796,53,243
18834,53,244
18907,53,245
18950,53,246
18993,53,247
19079,53,249
19153,53,250
19199,53,251
19465,53,252
19521,53,253
19764,53,254
19936,53,255
19983,53,256
20091,53,257
20179,53,258
20201,53,259
20353,53,260
20394,53,261
20433,53,262
20483,53,263
20538,53,264
20635,53,265
20665,53,266
20796,53,267
20829,53,269
20846,53,270
20988,53,271
21020,53,272
21267,53,273
21318,53,274
21351,53,275
21388,53,276
21466,53,277
21561,53,278
21743,53,279
21778,53,280
21841,53,281
21862,53,282
22011,53,283
22040,53,283
22098,53,283
22166,53,283
22429,53,283
22454,53,283
22465,53,283
22471,53,283
22473,53,283
22475,53,283
22487,53,283
22525,53,283
22538,53,283
22548,53,283
22621,53,283
22634,53,283
22644,53,283
22723,53,284
22729,53,286
22734,53,286
22773,53,286
22840,53,286
22877,53,286
23004,53,286
23104,53,286
23111,53,286
23315,53,287
23325,53,287
23330,53,287
23337,53,287
23345,53,287
23416,53,287
23432,53,287
23457,53,287
23500,53,287
