loc,misses,hits,total,ratio
8,1,0,16,0.0
280,109,26,538,0.23853211009174313
293,110,27,557,0.24545454545454545
295,110,27,559,0.24545454545454545
461,180,48,959,0.26666666666666666
613,251,80,1313,0.3187250996015936
619,255,81,1327,0.3176470588235294
704,271,91,1500,0.33579335793357934
710,272,96,1518,0.35294117647058826
1548,457,1217,4494,2.663019693654267
1683,509,1245,4781,2.4459724950884087
1721,519,1254,4848,2.4161849710982657
3720,519,1254,4848,2.4161849710982657
3745,538,1255,4928,2.33271375464684
3796,566,1282,5083,2.265017667844523
3814,567,1292,5124,2.2786596119929454
4050,623,1491,6055,2.393258426966292
4085,630,1506,6153,2.3904761904761904
4119,643,1508,6213,2.3452566096423015
4262,679,1585,6591,2.334315169366716
4293,680,1587,6626,2.333823529411765
4349,703,1620,6771,2.3044096728307255
4814,885,1763,7882,1.992090395480226
4829,893,1768,7920,1.9798432250839866
4950,907,1772,8031,1.9536934950385887
4974,915,1774,8093,1.9387978142076503
5033,924,1807,8299,1.9556277056277056
5074,929,1810,8348,1.9483315392895586
5100,935,1810,8391,1.9358288770053476
5273,968,1838,8704,1.8987603305785123
5343,1003,1860,8918,1.8544366899302094
5351,1003,1860,8922,1.8544366899302094
5570,1121,1928,9616,1.719892952720785
5586,1134,1931,9674,1.7028218694885362
5614,1140,1936,9752,1.6982456140350877
5653,1170,1963,9913,1.6777777777777778
5676,1174,1964,9945,1.6729131175468483
5709,1180,1973,10054,1.6720338983050846
5724,1185,1973,10082,1.6649789029535864
5727,1186,1975,10092,1.6652613827993255
6727,1465,2358,12724,1.6095563139931741
6825,1514,2403,13027,1.5871862615587846
6925,1541,2444,13321,1.5859831278390655
8116,1566,2570,16720,1.6411238825031929
8129,1567,2579,16752,1.6458200382897257
8147,1568,2581,16769,1.646045918367347
8181,1586,2605,16858,1.6424968474148802
8241,1629,2623,17001,1.6101903007980356
8275,1636,2625,17067,1.604523227383863
8296,1646,2640,17131,1.6038882138517618
8300,1648,2640,17144,1.6019417475728155
8302,1649,2641,17149,1.6015767131594907
8323,1652,2645,17182,1.6010895883777239
8328,1658,2646,17211,1.5958986731001206
8396,1668,2648,17392,1.5875299760191846
8407,1671,2652,17426,1.5870736086175943
8446,1677,2655,17454,1.5831842576028623
8520,1695,2684,17658,1.583480825958702
8523,1696,2684,17663,1.5825471698113207
8592,1718,2727,17894,1.5873108265424913
8622,1726,2728,17940,1.5805330243337197
8662,1743,2749,18058,1.5771658060814688
8750,1768,2760,18206,1.5610859728506787
8796,1785,2775,18390,1.5546218487394958
8830,1789,2778,18431,1.552822806036892
