loc,size,total_nodes
906,860,2050
1437,1175,3180
1718,1298,3867
1972,1428,4503
3133,2320,7736
3763,2715,9361
4296,3065,10397
4782,3510,11987
5127,3795,13270
5269,3912,13856
6249,4484,15621
6936,4947,16832
7298,5266,17633
7954,5705,18825
8690,6159,20500
9469,6656,21804
10078,7066,22861
10975,7568,24302
11502,7900,25331
11869,8167,26009
12349,8436,26773
12999,8910,28129
14023,9503,29796
14505,9787,30835
14960,10136,31875
15601,10537,33355
16216,11066,35096
17612,11968,39528
18397,12551,41828
19079,13107,43784
20353,13962,47643
21020,14522,49630
22011,15155,52935
22525,15637,54469
22877,15815,55072
23457,15935,55586
23693,16013,56254
23782,16052,56379
24262,16123,56587
25230,16674,58286
29068,18477,68022
31577,19735,74860
34114,20769,82252
36098,21577,88046
39536,22864,97010
41699,23635,102798
44386,24824,110093
46473,25769,116419
48298,26408,121599
50820,27258,128791
53015,28046,135581
56853,29323,145579
57859,29633,147139
58589,29952,148661
59181,30154,149780
59749,30370,151380
60332,30609,152475
61077,30880,154429
61796,31071,155447
62436,31275,156710
63181,31511,158112
63969,31787,159600
64386,31970,160423
65287,32260,162133
65771,32405,163352
66326,32581,164450
68153,33436,169862
70542,34288,177060
71504,34704,179714
72574,35052,182580
74470,35574,188097
75656,35948,191119
77272,36506,195786
78419,36948,198820
80144,37255,203660
81386,37667,207220
82716,38203,211022
83728,38927,213885
87815,40020,222503
89703,40705,227361
92398,41428,233625
94422,41846,237604
96959,42375,244258
99515,42823,249203
101769,43477,254666
106349,44566,265116
108340,45041,269746
111271,45607,275504
113978,46234,281155
114673,46593,283225
115421,46880,285134
116069,47110,286830
117242,47448,290075
117716,47668,291304
118390,47982,293022
119061,48300,294894
119767,48633,296532
120211,48850,297677
120524,49049,298480
120890,49275,299453
121607,49672,301117
122582,50138,303200
123038,50445,304436
123242,50572,304925
124208,51365,308097
124503,51577,309029
125773,51937,310203
126164,52195,310966
126563,52507,312349
126881,52737,313282
128552,53837,316523
129664,54392,318385
130485,54988,320175
130884,55217,320898
132020,55965,323165
132731,56505,324902
135505,57588,333243
137477,58823,339359
140628,61068,349446
142435,62199,354958
142910,62565,356356
143113,62702,356927
143340,62809,357353
143775,62872,357713
157406,63038,517973
158246,63547,519952
159741,64029,521876
161032,64680,525537
162294,65219,528012
162637,65430,528690
163370,65866,530358
164598,66468,533800
165337,66883,536155
166407,67373,540939
167638,67945,543203
168883,68550,545705
170274,69231,548419
171091,69714,551509
171965,70232,554813
172780,70759,557443
173362,71153,558917
174459,71863,561213
175313,72553,563284
176138,73044,565296
178192,74286,570663
178872,74712,572668
179221,74974,573666
179847,75409,575262
181172,76017,577854
182513,76634,580324
183204,77096,582570
183933,77656,584896
184231,77905,585756
184738,78350,587337
185050,78511,587848
185955,78980,590270
187186,79731,594669
188303,80620,598574
188998,81031,600283
190274,81819,603853
190868,82273,605765
191361,82639,606903
192427,83440,609998
192906,83751,611335
194195,84453,614434
194781,84453,614434
196242,84453,615608
197017,84538,616066
197559,84577,616598
198721,85199,619711
199655,85419,622219
200578,85549,624679
202434,86248,629338
204482,87547,638160
206727,88724,644231
208074,89253,647360
208820,89668,649507
209887,90239,652402
210453,90559,654046
211192,90900,656312
211964,91302,658048
214155,92830,663290
217327,94446,670288
219074,95275,673366
223675,98058,683430
225387,98676,686062
227391,99329,688820
231075,101068,696461
237357,103876,707689
241253,105973,715790
243332,106959,719497
245656,108098,723809
246454,108428,725746
247861,108820,728682
248940,108820,730907
249646,108825,732691
251153,109210,735943
252368,109583,737961
253120,109926,739571
253549,110070,740707
254051,110207,741940
254473,110355,743112
254726,110447,743911
255500,110572,745280
255859,110729,746273
256387,110962,747900
256907,111101,749531
258993,111610,752118
260557,112078,754145
263969,113104,758314
264715,113356,760135
266479,113966,764773
267370,114259,767013
268475,114603,769528
269111,114918,770864
269808,115429,772563
271569,116344,776538
272664,116856,778808
273236,117300,780927
274565,118174,784688
274880,118447,785652
275286,118725,786579
275676,118938,787387
276435,119346,788769
277240,119869,790674
277668,120084,791785
277981,120300,793142
278325,120486,793872
278778,120685,795764
279390,120939,797762
283252,122619,806872
289272,125749,820112
297955,128777,842449
308431,130880,867148
309343,131421,869741
309713,131720,870663
310000,131916,871358
310474,132230,872555
311046,132563,873922
312258,133238,876245
312935,133603,877319
313480,133857,878170
314401,134364,879608
315323,134832,881064
315941,135124,882169
316678,135634,884346
316810,135748,884686
317351,136144,886217
317930,136498,887790
318543,136821,889203
319569,137407,891484
320215,137819,893005
320776,138130,894312
321358,138454,895679
321958,138758,897110
322521,139055,898604
323816,139416,901932
324768,139705,904418
325633,140021,906590
326344,140375,908347
327171,140808,910218
329960,142024,915629
331960,142925,919573
332323,143125,920291
333342,143907,923285
335652,144970,929353
340615,146959,940615
345855,148783,950978
347319,149365,953937
348457,149996,957311
350613,151137,960815
352672,152164,964265
354214,153348,968553
355523,154030,971538
356199,154451,973213
356726,154684,974200
357258,155069,975674
358420,155798,978595
359233,156296,980800
359881,156610,982341
360598,156992,984040
361443,157386,986122
361779,157520,986661
362548,157931,988738
363768,158756,992590
364451,159149,994598
365394,159703,997481
366225,160187,999733
366957,160580,1001300
368508,161074,1003320
369557,161325,1004486
370582,161575,1005486
371249,161654,1005890
372402,161870,1007089
374582,162658,1010024
376671,163487,1013023
377646,163805,1014429
379986,164808,1018393
381215,165331,1020320
382396,165904,1022452
383565,166169,1023812
387370,166472,1025073
388754,166834,1026599
390201,167175,1028079
391127,167492,1029264
393324,168108,1032023
394717,168502,1033787
395826,168919,1035338
397449,169375,1037386
398531,169705,1038826
399260,169775,1039422
399928,169906,1039969
401150,170188,1041255
402411,170459,1042680
403227,170652,1043551
404049,170846,1044383
405384,171116,1045792
406344,171295,1046583
407228,171502,1047710
409314,172095,1049926
412123,172703,1052356
412910,172960,1053675
413481,173064,1054416
416144,173839,1057588
419201,174958,1062718
420664,175403,1064541
423806,176303,1068049
424973,176535,1069197
426314,176878,1070713
427743,177223,1072350
429407,177599,1074180
431302,177916,1076146
432526,178247,1077721
434226,178653,1079685
434614,178690,1079893
435046,178774,1080383
435901,179142,1082375
437944,180182,1087428
439590,180887,1091168
440872,181464,1094223
444510,183527,1103854
447081,184937,1110417
451125,187023,1120389
453804,188532,1128604
455689,189395,1132711
459666,191146,1142490
461119,191866,1145841
463421,192844,1151693
465340,193678,1156373
467093,194517,1160314
468889,195319,1164249
470008,195742,1166751
471759,196422,1170771
473691,197413,1175322
476325,198808,1182482
478368,199371,1188107
480810,200488,1193678
486140,202918,1207128
490134,204756,1216677
491779,205545,1220839
493785,206608,1225795
495503,207398,1229849
498191,208684,1236551
499395,209184,1239304
501441,210086,1244276
502189,210419,1245780
503635,211028,1249096
504608,211442,1250887
505899,212035,1254019
507460,212687,1257736
508639,213295,1260502
509517,213556,1262076
510176,213722,1263518
511019,214247,1265390
511631,214577,1266790
512475,215046,1268511
513258,215578,1270867
514497,216220,1275177
515006,216558,1276356
515355,216754,1277361
515560,216887,1277818
515829,217072,1278435
516660,217645,1280629
517887,218101,1282548
519110,218745,1287299
519231,218805,1287558
519302,218858,1287794
519481,218996,1288348
519587,219080,1288670
519701,219153,1289026
519825,219220,1289378
519920,219284,1289621
519962,219299,1289740
520035,219353,1289982
520084,219373,1290105
520152,219390,1290284
520254,219459,1290538
520336,219513,1290768
520432,219588,1291087
520489,219623,1291251
520599,219698,1291553
520653,219710,1291668
520717,219721,1291824
520790,219739,1292014
520855,219750,1292155
520936,219806,1292367
521029,219886,1292654
521128,219962,1292917
521720,220280,1293976
521777,220315,1294102
521852,220360,1294240
521990,220450,1294602
522114,220552,1294965
522187,220597,1295163
525236,222265,1303800
525548,222503,1304825
525648,222562,1305090
525948,222793,1305806
526108,222953,1306348
526523,223259,1307872
526553,223262,1307897
526576,223262,1307928
526626,223301,1308001
526673,223304,1308102
526693,223304,1308150
526716,223328,1308203
526770,223328,1308275
526800,223328,1308336
527459,223928,1310836
528906,224723,1314259
530041,225227,1316350
531700,225845,1318542
533161,226454,1320758
534542,227151,1323194
535522,227564,1325201
539192,229163,1335571
541626,230569,1342392
544637,231971,1350427
547669,233699,1359712
550706,235304,1368985
552847,236192,1374917
555559,237026,1381476
557069,237362,1384232
558402,237755,1386948
559419,238097,1389824
560454,238600,1392484
560796,238873,1393496
561029,238976,1394047
561250,239030,1394388
561398,239090,1394763
562092,239560,1396862
562862,240011,1398596
563599,240185,1399625
564135,240363,1400276
564728,240718,1401713
564834,240796,1402002
565108,240948,1402677
565345,240997,1403041
565630,241138,1403504
565972,241303,1404410
567027,241920,1408212
568223,242550,1411184
569148,242984,1412985
570522,243652,1416318
571332,244212,1418676
571557,244352,1419309
571977,244402,1419624
572373,244574,1420484
572888,244766,1421584
573407,245104,1422976
573607,245181,1423444
574632,245790,1426140
575676,246172,1428416
576503,246709,1430395
577470,247409,1432926
577964,247759,1434290
578487,248188,1435631
578982,248557,1437148
579479,248769,1438099
579641,248882,1438491
579866,248996,1439450
580030,249072,1439919
580178,249149,1440336
580301,249214,1440666
580505,249308,1441233
581084,249503,1443004
581473,249765,1443885
583029,250642,1448756
584927,251344,1453117
586381,252065,1457175
587088,252527,1459235
588226,252869,1462621
589678,253345,1466713
589917,253492,1467398
590701,254046,1469518
591295,254543,1471561
591820,254877,1473127
592149,254988,1473772
594428,255855,1477896
596332,256772,1483674
597136,257288,1485875
598006,257895,1487917
598837,258352,1490487
599439,258352,1490487
600263,258487,1491176
601402,258954,1492855
602369,259563,1495740
603590,260366,1499090
604734,260995,1502715
605945,261573,1506400
606831,262112,1509879
608483,263108,1513894
609168,263589,1516219
609736,264033,1518341
610236,264446,1520001
610982,265094,1522021
611162,265122,1522272
611307,265170,1522654
611434,265220,1522957
611834,265411,1524152
612258,265684,1525489
613127,266177,1528245
613831,266502,1530229
615085,266867,1533636
616573,267604,1538313
617881,268703,1542370
619801,270372,1549015
622286,272333,1556399
624442,274168,1563825
626855,275897,1572166
629063,277291,1580686
630259,278210,1585339
630873,278556,1586965
631645,279034,1589349
632058,279391,1591097
632693,279714,1593237
633661,279918,1596133
634288,280305,1598004
635337,281071,1601347
635689,281347,1602145
636000,281583,1602850
636311,281792,1603535
636662,282028,1604211
637041,282333,1605140
637248,282480,1605676
638137,283116,1607837
638804,283580,1609611
639658,284198,1611993
640329,284684,1614176
640874,285037,1615537
641416,285301,1616375
641765,285515,1616959
642458,285754,1617762
643607,286415,1619993
643923,286513,1620577
644579,286863,1622477
645786,287437,1625982
646587,287932,1627855
647060,288211,1628922
647489,288443,1629964
648455,289010,1632483
649133,289496,1634273
653200,291505,1649018
658973,294342,1669414
660208,295041,1673024
660775,295361,1674863
662026,296196,1679386
663727,297190,1683637
664428,297515,1685460
665227,297883,1687338
666469,298487,1690318
667456,298879,1692678
669766,300116,1698036
671544,300916,1701670
672874,301674,1704680
674922,303014,1710143
676726,303911,1713871
676998,303993,1714347
677156,304025,1714512
677291,304070,1714707
677631,304227,1715593
677857,304278,1715865
678114,304304,1716154
678457,304476,1717032
678884,304678,1718042
679033,304707,1718212
679250,304766,1718693
679492,304793,1718949
679647,304809,1719073
679856,304831,1719248
680203,304955,1720066
680482,304956,1720409
680762,305043,1720953
682004,305521,1723450
686542,305897,1736131
687565,306406,1738527
687894,306586,1739272
688399,306879,1740751
688867,307199,1742051
689395,307495,1743138
690173,307988,1745440
690811,308167,1747575
691307,308393,1748948
691986,308796,1750577
692338,308994,1751431
692484,309096,1751717
692892,309284,1752641
693885,309864,1755080
694164,310057,1755827
694662,310239,1756273
695035,310431,1756771
695917,310671,1757623
696477,310931,1758485
697234,311188,1759342
697523,311380,1759893
697843,311581,1760956
698755,312281,1763436
699744,312874,1766068
701536,313442,1768576
703854,314581,1774532
704533,315076,1776290
705367,315597,1778491
705707,315674,1779384
706097,315811,1780454
706424,315897,1781259
706760,315938,1782281
