loc,size,total_nodes,file
906,860,2050,data/aasm/lib/aasm/persistence/base.rb
1437,1175,3180,data/aasm/spec/models/bar.rb
1718,1298,3867,data/aasm/spec/models/parametrised_event.rb
1972,1428,4503,data/aasm/spec/spec_helper.rb
3133,2320,7736,data/aasm/spec/unit/persistence/mongoid_persistance_spec.rb
3763,2715,9361,data/achievements/lib/achievements/engine.rb
4296,3065,10397,data/action_args/lib/generators/rails/action_args_scaffold_controller_generator.rb
4782,3510,11987,data/active_admin/features/step_definitions/action_item_steps.rb
5127,3795,13270,data/active_admin/features/step_definitions/filter_steps.rb
5269,3912,13856,data/active_admin/features/step_definitions/site_title_steps.rb
6249,4484,15621,data/active_admin/lib/active_admin/authorization_adapter.rb
6936,4947,16832,data/active_admin/lib/active_admin/callbacks.rb
7298,5266,17633,data/active_admin/lib/active_admin/csv_builder.rb
7954,5705,18825,data/active_admin/lib/active_admin/filters.rb
8690,6159,20500,data/active_admin/lib/active_admin/inputs/filter_boolean_input.rb
9469,6656,21804,data/active_admin/lib/active_admin/page.rb
10078,7066,22861,data/active_admin/lib/active_admin/resource/pagination.rb
10975,7568,24302,data/active_admin/lib/active_admin/resource_controller/resource_class_methods.rb
11502,7900,25331,data/active_admin/lib/active_admin/view_factory.rb
11869,8167,26009,data/active_admin/lib/active_admin/view_helpers/method_or_proc_helper.rb
12349,8436,26773,data/active_admin/lib/active_admin/views/components/index_list.rb
12999,8910,28129,data/active_admin/lib/active_admin/views/header.rb
14023,9503,29796,data/active_admin/lib/active_admin/views/pages/show.rb
14505,9787,30835,data/active_admin/lib/generators/active_admin/resource/resource_generator.rb
14960,10136,31875,data/active_admin/spec/support/detect_rails_version.rb
15601,10537,33355,data/active_admin/spec/unit/application_spec.rb
16216,11066,35096,data/active_admin/spec/unit/config_shared_examples.rb
17612,11968,39528,data/active_admin/spec/unit/helpers/scope_chain_spec.rb
18397,12551,41828,data/active_admin/spec/unit/pretty_format_spec.rb
19079,13107,43784,data/active_admin/spec/unit/resource_collection_spec.rb
20353,13962,47643,data/active_admin/spec/unit/view_helpers/breadcrumbs_spec.rb
21020,14522,49630,data/active_admin/spec/unit/views/components/index_list_spec.rb
22011,15155,52935,data/active_admin/spec/unit/views/tabbed_navigation_spec.rb
22525,15637,54469,data/active_invoices/app/models/ability.rb
22877,15815,55072,data/active_invoices/config/environments/test.rb
